frame,track_id,x,y,w,h,confidence,class_id,class_name,fps,video_width,video_height
0,3,1134,704,55,126,tensor(0.7962),3,motorcycle,28,1920,1084
0,5,1044,787,63,128,tensor(0.7878),3,motorcycle,28,1920,1084
0,7,375,416,98,71,tensor(0.8041),3,motorcycle,28,1920,1084
0,8,683,398,92,60,tensor(0.7464),3,motorcycle,28,1920,1084
0,9,1123,447,65,57,tensor(0.7182),3,motorcycle,28,1920,1084
0,10,282,535,46,82,tensor(0.6168),3,motorcycle,28,1920,1084
0,11,879,467,51,76,tensor(0.7565),3,motorcycle,28,1920,1084
0,13,1326,563,98,88,tensor(0.6215),3,motorcycle,28,1920,1084
0,14,832,374,40,45,tensor(0.7356),3,motorcycle,28,1920,1084
0,16,1041,400,96,67,tensor(0.4821),3,motorcycle,28,1920,1084
0,19,426,589,50,88,tensor(0.5113),3,motorcycle,28,1920,1084
0,21,1453,766,46,100,tensor(0.4072),3,motorcycle,28,1920,1084
0,25,967,369,40,40,tensor(0.3969),3,motorcycle,28,1920,1084
0,24,733,348,43,52,tensor(0.3343),3,motorcycle,28,1920,1084
0,28,290,589,100,89,tensor(0.3075),3,motorcycle,28,1920,1084
0,34,860,402,50,58,tensor(0.4980),3,motorcycle,28,1920,1084
0,36,682,254,27,42,tensor(0.3064),3,motorcycle,28,1920,1084
1,3,1134,704,55,126,tensor(0.7966),3,motorcycle,28,1920,1084
1,5,1044,787,62,128,tensor(0.7893),3,motorcycle,28,1920,1084
1,7,375,416,98,71,tensor(0.8042),3,motorcycle,28,1920,1084
1,8,683,398,92,60,tensor(0.7468),3,motorcycle,28,1920,1084
1,9,1123,447,65,57,tensor(0.7182),3,motorcycle,28,1920,1084
1,10,282,535,46,82,tensor(0.6160),3,motorcycle,28,1920,1084
1,11,879,467,51,76,tensor(0.7569),3,motorcycle,28,1920,1084
1,13,1326,563,98,88,tensor(0.6199),3,motorcycle,28,1920,1084
1,14,832,374,40,45,tensor(0.7366),3,motorcycle,28,1920,1084
1,16,1041,400,96,67,tensor(0.4824),3,motorcycle,28,1920,1084
1,19,426,589,50,88,tensor(0.5100),3,motorcycle,28,1920,1084
1,21,1453,766,46,100,tensor(0.4062),3,motorcycle,28,1920,1084
1,25,967,369,40,40,tensor(0.3969),3,motorcycle,28,1920,1084
1,24,733,348,43,52,tensor(0.3343),3,motorcycle,28,1920,1084
1,28,290,589,100,89,tensor(0.3092),3,motorcycle,28,1920,1084
1,34,860,402,50,58,tensor(0.4972),3,motorcycle,28,1920,1084
1,36,682,254,27,42,tensor(0.3061),3,motorcycle,28,1920,1084
2,3,1136,701,53,123,tensor(0.8072),3,motorcycle,28,1920,1084
2,5,1046,779,64,131,tensor(0.7846),3,motorcycle,28,1920,1084
2,7,382,415,99,73,tensor(0.8086),3,motorcycle,28,1920,1084
2,8,675,399,90,59,tensor(0.6355),3,motorcycle,28,1920,1084
2,9,1114,442,72,62,tensor(0.7294),3,motorcycle,28,1920,1084
2,10,282,535,46,82,tensor(0.6229),3,motorcycle,28,1920,1084
2,11,875,467,52,77,tensor(0.7621),3,motorcycle,28,1920,1084
2,13,1326,563,98,88,tensor(0.6323),3,motorcycle,28,1920,1084
2,14,833,372,41,47,tensor(0.7028),3,motorcycle,28,1920,1084
2,16,1036,400,95,67,tensor(0.4877),3,motorcycle,28,1920,1084
2,19,424,585,51,91,tensor(0.6568),3,motorcycle,28,1920,1084
2,21,1453,766,46,100,tensor(0.3819),3,motorcycle,28,1920,1084
2,24,730,356,50,48,tensor(0.4707),3,motorcycle,28,1920,1084
2,25,967,368,40,41,tensor(0.4436),3,motorcycle,28,1920,1084
2,28,290,589,100,89,tensor(0.2894),3,motorcycle,28,1920,1084
2,34,854,404,49,57,tensor(0.5075),3,motorcycle,28,1920,1084
2,36,682,254,27,42,tensor(0.3122),3,motorcycle,28,1920,1084
3,3,1137,697,54,122,tensor(0.8017),3,motorcycle,28,1920,1084
3,5,1049,769,65,134,tensor(0.7684),3,motorcycle,28,1920,1084
3,7,394,419,94,69,tensor(0.8092),3,motorcycle,28,1920,1084
3,8,663,399,91,59,tensor(0.7071),3,motorcycle,28,1920,1084
3,9,1106,437,77,68,tensor(0.7511),3,motorcycle,28,1920,1084
3,10,282,535,46,82,tensor(0.6416),3,motorcycle,28,1920,1084
3,11,869,466,53,80,tensor(0.7270),3,motorcycle,28,1920,1084
3,13,1326,563,97,88,tensor(0.6339),3,motorcycle,28,1920,1084
3,14,835,371,43,48,tensor(0.6251),3,motorcycle,28,1920,1084
3,16,1027,399,98,67,tensor(0.5409),3,motorcycle,28,1920,1084
3,19,423,582,52,91,tensor(0.6010),3,motorcycle,28,1920,1084
3,21,1453,766,46,100,tensor(0.3624),3,motorcycle,28,1920,1084
3,24,731,356,50,48,tensor(0.4651),3,motorcycle,28,1920,1084
3,25,966,367,41,41,tensor(0.4361),3,motorcycle,28,1920,1084
3,28,290,589,100,89,tensor(0.2803),3,motorcycle,28,1920,1084
3,34,847,404,49,56,tensor(0.4538),3,motorcycle,28,1920,1084
3,36,682,253,27,43,tensor(0.3019),3,motorcycle,28,1920,1084
4,3,1138,691,53,122,tensor(0.7986),3,motorcycle,28,1920,1084
4,5,1052,760,66,135,tensor(0.7694),3,motorcycle,28,1920,1084
4,7,403,419,94,68,tensor(0.8270),3,motorcycle,28,1920,1084
4,8,650,397,93,61,tensor(0.7252),3,motorcycle,28,1920,1084
4,9,1100,439,76,66,tensor(0.7281),3,motorcycle,28,1920,1084
4,10,282,535,46,82,tensor(0.6208),3,motorcycle,28,1920,1084
4,11,863,470,52,77,tensor(0.7570),3,motorcycle,28,1920,1084
4,13,1326,563,96,88,tensor(0.6369),3,motorcycle,28,1920,1084
4,14,836,370,46,53,tensor(0.3914),3,motorcycle,28,1920,1084
4,16,1016,399,97,67,tensor(0.5020),3,motorcycle,28,1920,1084
4,19,421,577,52,94,tensor(0.6388),3,motorcycle,28,1920,1084
4,21,1453,766,46,99,tensor(0.3656),3,motorcycle,28,1920,1084
4,24,731,357,49,48,tensor(0.6057),3,motorcycle,28,1920,1084
4,25,967,368,40,41,tensor(0.4230),3,motorcycle,28,1920,1084
4,28,290,589,100,89,tensor(0.2870),3,motorcycle,28,1920,1084
4,36,682,253,27,43,tensor(0.3161),3,motorcycle,28,1920,1084
4,55,966,361,39,45,tensor(0.3585),3,motorcycle,28,1920,1084
5,3,1139,686,53,121,tensor(0.7966),3,motorcycle,28,1920,1084
5,5,1055,752,66,136,tensor(0.7634),3,motorcycle,28,1920,1084
5,7,413,420,93,68,tensor(0.8112),3,motorcycle,28,1920,1084
5,8,638,396,94,61,tensor(0.7383),3,motorcycle,28,1920,1084
5,9,1095,440,75,66,tensor(0.7605),3,motorcycle,28,1920,1084
5,10,282,535,46,82,tensor(0.6244),3,motorcycle,28,1920,1084
5,11,857,471,53,79,tensor(0.7427),3,motorcycle,28,1920,1084
5,13,1326,563,97,88,tensor(0.6152),3,motorcycle,28,1920,1084
5,16,1006,395,102,71,tensor(0.4547),3,motorcycle,28,1920,1084
5,19,421,578,51,91,tensor(0.4450),3,motorcycle,28,1920,1084
5,21,1453,765,46,100,tensor(0.3529),3,motorcycle,28,1920,1084
5,24,731,358,47,48,tensor(0.6105),3,motorcycle,28,1920,1084
5,25,965,366,43,43,tensor(0.4556),3,motorcycle,28,1920,1084
5,28,290,589,100,89,tensor(0.2967),3,motorcycle,28,1920,1084
5,36,682,253,27,43,tensor(0.3043),3,motorcycle,28,1920,1084
5,71,830,373,72,84,tensor(0.4406),3,motorcycle,28,1920,1084
5,74,1251,422,54,75,tensor(0.3871),3,motorcycle,28,1920,1084
6,3,1139,685,53,121,tensor(0.7949),3,motorcycle,28,1920,1084
6,5,1056,751,65,135,tensor(0.7634),3,motorcycle,28,1920,1084
6,7,417,421,92,67,tensor(0.8104),3,motorcycle,28,1920,1084
6,8,634,396,95,61,tensor(0.7335),3,motorcycle,28,1920,1084
6,9,1093,439,75,67,tensor(0.7651),3,motorcycle,28,1920,1084
6,10,282,535,46,82,tensor(0.6140),3,motorcycle,28,1920,1084
6,11,855,471,53,80,tensor(0.7365),3,motorcycle,28,1920,1084
6,13,1326,563,96,88,tensor(0.6155),3,motorcycle,28,1920,1084
6,16,1002,394,103,72,tensor(0.4644),3,motorcycle,28,1920,1084
6,19,421,579,50,90,tensor(0.4233),3,motorcycle,28,1920,1084
6,21,1453,765,46,100,tensor(0.3565),3,motorcycle,28,1920,1084
6,24,731,359,47,47,tensor(0.6168),3,motorcycle,28,1920,1084
6,25,965,365,43,44,tensor(0.4640),3,motorcycle,28,1920,1084
6,28,290,589,100,89,tensor(0.2995),3,motorcycle,28,1920,1084
6,36,682,253,27,43,tensor(0.2992),3,motorcycle,28,1920,1084
6,71,831,372,71,83,tensor(0.3899),3,motorcycle,28,1920,1084
6,74,1250,422,54,75,tensor(0.3854),3,motorcycle,28,1920,1084
6,89,1006,396,76,68,tensor(0.3741),3,motorcycle,28,1920,1084
7,3,1140,685,52,117,tensor(0.7967),3,motorcycle,28,1920,1084
7,5,1060,751,62,129,tensor(0.7872),3,motorcycle,28,1920,1084
7,7,424,421,92,67,tensor(0.8282),3,motorcycle,28,1920,1084
7,8,628,397,95,60,tensor(0.6838),3,motorcycle,28,1920,1084
7,9,1088,442,73,65,tensor(0.7492),3,motorcycle,28,1920,1084
7,10,282,535,46,82,tensor(0.5797),3,motorcycle,28,1920,1084
7,11,851,472,54,81,tensor(0.7614),3,motorcycle,28,1920,1084
7,13,1325,564,97,87,tensor(0.5970),3,motorcycle,28,1920,1084
7,19,419,575,51,92,tensor(0.4910),3,motorcycle,28,1920,1084
7,21,1454,764,45,97,tensor(0.3892),3,motorcycle,28,1920,1084
7,24,730,358,46,49,tensor(0.6024),3,motorcycle,28,1920,1084
7,25,967,366,43,43,tensor(0.4893),3,motorcycle,28,1920,1084
7,28,290,589,100,89,tensor(0.1878),3,motorcycle,28,1920,1084
7,36,682,253,27,44,tensor(0.2935),3,motorcycle,28,1920,1084
7,71,824,383,65,75,tensor(0.5942),3,motorcycle,28,1920,1084
7,74,1248,421,56,76,tensor(0.4558),3,motorcycle,28,1920,1084
7,89,1004,401,71,63,tensor(0.7045),3,motorcycle,28,1920,1084
8,3,1141,681,51,117,tensor(0.8012),3,motorcycle,28,1920,1084
8,5,1064,748,61,126,tensor(0.7870),3,motorcycle,28,1920,1084
8,7,433,422,92,67,tensor(0.8260),3,motorcycle,28,1920,1084
8,8,616,398,94,59,tensor(0.6571),3,motorcycle,28,1920,1084
8,9,1085,447,68,60,tensor(0.7512),3,motorcycle,28,1920,1084
8,10,282,535,46,82,tensor(0.5469),3,motorcycle,28,1920,1084
8,11,846,471,55,85,tensor(0.7655),3,motorcycle,28,1920,1084
8,13,1326,564,96,87,tensor(0.5694),3,motorcycle,28,1920,1084
8,19,416,571,53,94,tensor(0.4770),3,motorcycle,28,1920,1084
8,21,1454,764,45,95,tensor(0.3747),3,motorcycle,28,1920,1084
8,24,729,359,45,48,tensor(0.6170),3,motorcycle,28,1920,1084
8,25,968,365,43,43,tensor(0.3551),3,motorcycle,28,1920,1084
8,28,290,589,100,89,tensor(0.4088),3,motorcycle,28,1920,1084
8,36,682,253,27,44,tensor(0.2875),3,motorcycle,28,1920,1084
8,71,815,386,63,73,tensor(0.6722),3,motorcycle,28,1920,1084
8,74,1241,423,55,74,tensor(0.5342),3,motorcycle,28,1920,1084
8,89,996,402,70,63,tensor(0.6776),3,motorcycle,28,1920,1084
9,3,1142,678,51,115,tensor(0.8063),3,motorcycle,28,1920,1084
9,5,1067,744,60,123,tensor(0.7655),3,motorcycle,28,1920,1084
9,7,443,423,91,66,tensor(0.8151),3,motorcycle,28,1920,1084
9,8,601,395,98,62,tensor(0.7120),3,motorcycle,28,1920,1084
9,9,1078,447,69,61,tensor(0.7377),3,motorcycle,28,1920,1084
9,10,282,535,46,82,tensor(0.4708),3,motorcycle,28,1920,1084
9,11,840,473,56,86,tensor(0.7546),3,motorcycle,28,1920,1084
9,13,1326,564,96,87,tensor(0.5618),3,motorcycle,28,1920,1084
9,19,415,569,51,94,tensor(0.5860),3,motorcycle,28,1920,1084
9,21,1454,765,44,93,tensor(0.3550),3,motorcycle,28,1920,1084
9,24,728,360,44,48,tensor(0.5629),3,motorcycle,28,1920,1084
9,25,969,365,43,43,tensor(0.3497),3,motorcycle,28,1920,1084
9,28,290,589,100,89,tensor(0.4598),3,motorcycle,28,1920,1084
9,36,682,253,27,43,tensor(0.2970),3,motorcycle,28,1920,1084
9,71,809,392,59,67,tensor(0.6887),3,motorcycle,28,1920,1084
9,74,1232,416,61,83,tensor(0.5769),3,motorcycle,28,1920,1084
9,89,989,406,67,59,tensor(0.7361),3,motorcycle,28,1920,1084
10,3,1142,674,51,113,tensor(0.7998),3,motorcycle,28,1920,1084
10,5,1070,739,59,122,tensor(0.7671),3,motorcycle,28,1920,1084
10,7,452,424,91,65,tensor(0.8239),3,motorcycle,28,1920,1084
10,8,587,394,100,62,tensor(0.7292),3,motorcycle,28,1920,1084
10,9,1070,442,73,67,tensor(0.7604),3,motorcycle,28,1920,1084
10,10,282,535,46,82,tensor(0.4298),3,motorcycle,28,1920,1084
10,11,834,474,57,87,tensor(0.7408),3,motorcycle,28,1920,1084
10,13,1326,564,96,87,tensor(0.5632),3,motorcycle,28,1920,1084
10,19,413,567,52,94,tensor(0.6492),3,motorcycle,28,1920,1084
10,21,1454,765,44,94,tensor(0.3462),3,motorcycle,28,1920,1084
10,24,726,360,43,48,tensor(0.6160),3,motorcycle,28,1920,1084
10,25,968,364,46,45,tensor(0.2567),3,motorcycle,28,1920,1084
10,28,290,589,100,89,tensor(0.4839),3,motorcycle,28,1920,1084
10,36,682,253,27,43,tensor(0.2812),3,motorcycle,28,1920,1084
10,71,801,400,54,60,tensor(0.7306),3,motorcycle,28,1920,1084
10,74,1223,411,66,88,tensor(0.6049),3,motorcycle,28,1920,1084
10,89,977,403,71,62,tensor(0.7430),3,motorcycle,28,1920,1084
10,83,857,369,33,44,tensor(0.4631),3,motorcycle,28,1920,1084
11,3,1143,670,50,112,tensor(0.7786),3,motorcycle,28,1920,1084
11,5,1073,733,59,122,tensor(0.7644),3,motorcycle,28,1920,1084
11,7,462,425,91,65,tensor(0.8241),3,motorcycle,28,1920,1084
11,8,584,396,97,61,tensor(0.6176),3,motorcycle,28,1920,1084
11,9,1064,444,71,65,tensor(0.7155),3,motorcycle,28,1920,1084
11,10,282,535,46,82,tensor(0.5397),3,motorcycle,28,1920,1084
11,11,828,474,58,89,tensor(0.7662),3,motorcycle,28,1920,1084
11,13,1326,563,96,88,tensor(0.5567),3,motorcycle,28,1920,1084
11,19,411,565,51,93,tensor(0.5858),3,motorcycle,28,1920,1084
11,21,1453,765,45,95,tensor(0.3556),3,motorcycle,28,1920,1084
11,24,724,360,43,49,tensor(0.6120),3,motorcycle,28,1920,1084
11,25,968,364,45,45,tensor(0.1573),3,motorcycle,28,1920,1084
11,28,290,589,100,89,tensor(0.3472),3,motorcycle,28,1920,1084
