frame,track_id,x,y,w,h,confidence,class_id,class_name,fps,video_width,video_height
1,1,1350,744,79,110,tensor(1),3,motorcycle,28,1920,1084
1,2,1104,518,31,57,tensor(1),3,motorcycle,28,1920,1084
1,3,356,635,77,113,tensor(1),3,motorcycle,28,1920,1084
1,4,939,936,76,144,tensor(1),3,motorcycle,28,1920,1084
1,5,1239,698,54,98,tensor(1),3,motorcycle,28,1920,1084
1,6,730,330,28,41,tensor(1),3,motorcycle,28,1920,1084
1,7,760,309.8,21,38.2,tensor(1),3,motorcycle,28,1920,1084
1,8,968,679,50,101,tensor(1),3,motorcycle,28,1920,1084
1,9,940,397,37.1,38,tensor(1),3,motorcycle,28,1920,1084
2,1,1349,745,79,110,tensor(1),3,motorcycle,28,1920,1084
2,2,1105,514,33,61,tensor(1),3,motorcycle,28,1920,1084
2,3,355,635,77,113,tensor(1),3,motorcycle,28,1920,1084
2,4,940,921,75,142,tensor(1),3,motorcycle,28,1920,1084
2,5,1238,699,54,97,tensor(1),3,motorcycle,28,1920,1084
2,6,730,330,28,42,tensor(1),3,motorcycle,28,1920,1084
2,7,761,318,20,29,tensor(1),3,motorcycle,28,1920,1084
2,10,960,789,33,55,tensor(1),3,motorcycle,28,1920,1084
2,8,970,675,49,99,tensor(1),3,motorcycle,28,1920,1084
2,9,939,396,74,38,tensor(1),3,motorcycle,28,1920,1084
3,1,1349,744,79,111,tensor(1),3,motorcycle,28,1920,1084
3,2,1106,512,36,65,tensor(1),3,motorcycle,28,1920,1084
3,3,355,635,77,113,tensor(1),3,motorcycle,28,1920,1084
3,4,945,906,71,136,tensor(1),3,motorcycle,28,1920,1084
3,5,1238,698,54,98,tensor(1),3,motorcycle,28,1920,1084
3,6,730,331,29,42,tensor(1),3,motorcycle,28,1920,1084
3,7,761,319,20,30,tensor(1),3,motorcycle,28,1920,1084
3,8,971,675,48,96,tensor(1),3,motorcycle,28,1920,1084
3,9,941,395,22.4,38,tensor(1),3,motorcycle,28,1920,1084
3,11,473.83,631.99,63.7600000000001,114.93,tensor(1),3,motorcycle,28,1920,1084
4,1,1349,744,80,111,tensor(1),3,motorcycle,28,1920,1084
4,2,1106,511,37,67,tensor(1),3,motorcycle,28,1920,1084
4,3,356,635,77,113,tensor(1),3,motorcycle,28,1920,1084
4,4,946,903,70,132,tensor(1),3,motorcycle,28,1920,1084
4,5,1238,698,53,98,tensor(1),3,motorcycle,28,1920,1084
4,6,731,330,28,42,tensor(1),3,motorcycle,28,1920,1084
4,7,761,319,20,30,tensor(1),3,motorcycle,28,1920,1084
4,8,972,677,47,94,tensor(1),3,motorcycle,28,1920,1084
4,9,940,394,27.8,38,tensor(1),3,motorcycle,28,1920,1084
4,11,468.7,625.59,67.57,132.98,tensor(1),3,motorcycle,28,1920,1084
5,1,1349,744,79,111,tensor(1),3,motorcycle,28,1920,1084
5,2,1109,510,36,65,tensor(1),3,motorcycle,28,1920,1084
5,3,356,635,77,113,tensor(1),3,motorcycle,28,1920,1084
5,4,947,891,71,134,tensor(1),3,motorcycle,28,1920,1084
5,5,1240,701,52,95,tensor(1),3,motorcycle,28,1920,1084
5,6,731,329,29,42,tensor(1),3,motorcycle,28,1920,1084
5,7,761,319,21,31,tensor(1),3,motorcycle,28,1920,1084
5,9,941,394,22.8,38,tensor(1),3,motorcycle,28,1920,1084
5,11,471,622.78,65.9500000000001,134.34,tensor(1),3,motorcycle,28,1920,1084
6,1,1349,744,80,111,tensor(1),3,motorcycle,28,1920,1084
6,2,1115,509,32,57,tensor(1),3,motorcycle,28,1920,1084
6,3,355,639,75,110,tensor(1),3,motorcycle,28,1920,1084
6,4,944,874,80,152,tensor(1),3,motorcycle,28,1920,1084
6,5,1240,701,53,95,tensor(1),3,motorcycle,28,1920,1084
6,6,733,330,27,41,tensor(1),3,motorcycle,28,1920,1084
6,7,761,319,21,32,tensor(1),3,motorcycle,28,1920,1084
6,8,976,673,43,86,tensor(1),3,motorcycle,28,1920,1084
6,9,930.32,394,23.9,38,tensor(1),3,motorcycle,28,1920,1084
6,11,471.31,622.85,63.99,135.6,tensor(1),3,motorcycle,28,1920,1084
7,1,1349,744,79,112,tensor(1),3,motorcycle,28,1920,1084
7,2,1118,507,33,60,tensor(1),3,motorcycle,28,1920,1084
7,3,355,641,73,108,tensor(1),3,motorcycle,28,1920,1084
7,4,943,866,83,157,tensor(1),3,motorcycle,28,1920,1084
7,5,1241,701,52,95,tensor(1),3,motorcycle,28,1920,1084
7,6,733,332,27,40,tensor(1),3,motorcycle,28,1920,1084
7,7,761,320,20,31,tensor(1),3,motorcycle,28,1920,1084
7,8,978,669,42,84,tensor(1),3,motorcycle,28,1920,1084
7,9,933.46,391.93,29.3,38,tensor(1),3,motorcycle,28,1920,1084
7,11,481,625,47,128,tensor(1),3,motorcycle,28,1920,1084
8,1,1347,742,81,114,tensor(1),3,motorcycle,28,1920,1084
8,2,1121,504,34,62,tensor(1),3,motorcycle,28,1920,1084
8,3,355,641,74,108,tensor(1),3,motorcycle,28,1920,1084
8,4,937,856,87,165,tensor(1),3,motorcycle,28,1920,1084
8,5,1240,699,53,97,tensor(1),3,motorcycle,28,1920,1084
8,6,733,333,27,39,tensor(1),3,motorcycle,28,1920,1084
8,7,762,319,19,31,tensor(1),3,motorcycle,28,1920,1084
8,8,979,665,43,85,tensor(1),3,motorcycle,28,1920,1084
8,9,939,391,76,41,tensor(1),3,motorcycle,28,1920,1084
8,11,471.06,622.74,64.28,133.53,tensor(1),3,motorcycle,28,1920,1084
9,1,1348,742,81,115,tensor(1),3,motorcycle,28,1920,1084
9,2,1123,499,35,63,tensor(1),3,motorcycle,28,1920,1084
9,3,355,640,74,109,tensor(1),3,motorcycle,28,1920,1084
9,4,935,843,90,168,tensor(1),3,motorcycle,28,1920,1084
9,5,1240,700,53,96,tensor(1),3,motorcycle,28,1920,1084
9,6,733,332,28,41,tensor(1),3,motorcycle,28,1920,1084
9,7,762,319,20,31,tensor(1),3,motorcycle,28,1920,1084
9,12,1260,505,74,66,tensor(1),3,motorcycle,28,1920,1084
9,8,979,657,45,88,tensor(1),3,motorcycle,28,1920,1084
9,9,937,390,77,41,tensor(1),3,motorcycle,28,1920,1084
9,11,475.11,623.23,57.36,132.05,tensor(1),3,motorcycle,28,1920,1084
10,1,1348,742,81,115,tensor(1),3,motorcycle,28,1920,1084
10,2,1126,496,35,63,tensor(1),3,motorcycle,28,1920,1084
10,3,357,635,77,113,tensor(1),3,motorcycle,28,1920,1084
10,4,938,834,87,164,tensor(1),3,motorcycle,28,1920,1084
10,5,1240,699,54,97,tensor(1),3,motorcycle,28,1920,1084
10,6,733,333,28,40,tensor(1),3,motorcycle,28,1920,1084
10,7,762,319,20,32,tensor(1),3,motorcycle,28,1920,1084
10,12,1260,505,73,66,tensor(1),3,motorcycle,28,1920,1084
10,8,978,653,48,93,tensor(1),3,motorcycle,28,1920,1084
10,11,469.87,621.78,67.03,136.58,tensor(1),3,motorcycle,28,1920,1084
11,1,1350,743,80,115,tensor(1),3,motorcycle,28,1920,1084
11,2,1132,493,36,63,tensor(1),3,motorcycle,28,1920,1084
11,3,355,639,75,109,tensor(1),3,motorcycle,28,1920,1084
11,4,944,825,81,151,tensor(1),3,motorcycle,28,1920,1084
11,5,1241,702,53,94,tensor(1),3,motorcycle,28,1920,1084
11,6,733,331,29,43,tensor(1),3,motorcycle,28,1920,1084
11,7,762,318,21,34,tensor(1),3,motorcycle,28,1920,1084
11,12,1259,504,73,66,tensor(1),3,motorcycle,28,1920,1084
11,8,981,642,48,93,tensor(1),3,motorcycle,28,1920,1084
11,9,937,390,76,41,tensor(1),3,motorcycle,28,1920,1084
11,11,470.8,622.87,65.28,135.43,tensor(1),3,motorcycle,28,1920,1084
12,1,1350,744,81,114,tensor(1),3,motorcycle,28,1920,1084
12,2,1134,491,37,64,tensor(1),3,motorcycle,28,1920,1084
12,3,355,640,74,109,tensor(1),3,motorcycle,28,1920,1084
12,4,947,821,79,148,tensor(1),3,motorcycle,28,1920,1084
12,5,1241,703,53,93,tensor(1),3,motorcycle,28,1920,1084
12,6,733,330,30,44,tensor(1),3,motorcycle,28,1920,1084
12,7,762,318,21,34,tensor(1),3,motorcycle,28,1920,1084
12,12,1260,504,73,66,tensor(1),3,motorcycle,28,1920,1084
12,8,982,638,48,94,tensor(1),3,motorcycle,28,1920,1084
12,9,935,389,79,42,tensor(1),3,motorcycle,28,1920,1084
12,11,481,626,49,126,tensor(1),3,motorcycle,28,1920,1084
13,1,1350,744,81,114,tensor(1),3,motorcycle,28,1920,1084
13,2,1138,490,35,61,tensor(1),3,motorcycle,28,1920,1084
13,3,355,644,72,105,tensor(1),3,motorcycle,28,1920,1084
13,4,951,818,75,141,tensor(1),3,motorcycle,28,1920,1084
13,5,1239,701,54,95,tensor(1),3,motorcycle,28,1920,1084
13,6,733,330,30,44,tensor(1),3,motorcycle,28,1920,1084
13,7,762,317,21,34,tensor(1),3,motorcycle,28,1920,1084
13,12,1260,503,76,67,tensor(1),3,motorcycle,28,1920,1084
13,8,982,634,49,95,tensor(1),3,motorcycle,28,1920,1084
13,9,915.7,388,44.8,43,tensor(1),3,motorcycle,28,1920,1084
